Character_A,Character_B,Weight,Pages(centers),Pairs(pa:pb)
"زینب بیگم","کنیز فاطمہ",13,"2 4 5 6 7 8 9 12 13 17","2:2 7:2 7:3 7:5 7:7 8:7 8:9 9:9 15:10 15:11 15:12 15:19 16:19"
"زینب بیگم","گوبند سنگھ",3,"2 4 6","2:2 7:2 7:5"
"سکھ دیپ سنگھ","صاحباں",1,"3","1:6"
"سکھ دیپ سنگھ","غلام محمد",1,"3","1:5"
"سکھ دیپ سنگھ","نور بیگم",1,"1","1:2"
"سکھ دیپ سنگھ","کنیز فاطمہ",1,"1","1:2"
"سکھ دیپ سنگھ","گوبند سنگھ",1,"1","1:2"
"شیداں پاؤنڈوں والی","صاحباں",5,"7 9 21 22","8:6 8:10 24:19 24:20 24:21"
"شیداں پاؤنڈوں والی","صغرا بی بی",7,"9 23 24 51 52 53","8:10 24:22 24:23 24:24 51:51 53:51 53:53"
"شیداں پاؤنڈوں والی","عزیز جہان",3,"25 53 54","24:27 51:56 53:56"
"شیداں پاؤنڈوں والی","غلام محمد",1,"6","8:5"
"شیداں پاؤنڈوں والی","لبناں سنگھ",3,"48 49","51:46 51:47 51:48"
"شیداں پاؤنڈوں والی","محمد جہان نمبردار",9,"7 8 21 22 24 48 49 53 54","8:7 8:9 24:19 24:20 24:25 51:46 51:48 51:56 53:56"
"شیداں پاؤنڈوں والی","نور بیگم",5,"6 8 21 25 50","8:5 8:8 24:19 24:27 51:49"
"شیداں پاؤنڈوں والی","پیر بخش",1,"10","8:12"
"شیداں پاؤنڈوں والی","چھیمو",3,"50 51 52","51:50 51:52 53:52"
"شیداں پاؤنڈوں والی","کنیز فاطمہ",10,"5 6 7 8 21 22 49 50","8:3 8:5 8:7 8:9 24:19 24:20 24:21 51:47 51:48 51:49"
"شیداں پاؤنڈوں والی","گوبند سنگھ",1,"6","8:5"
"صاحباں","صغرا بی بی",18,"8 10 11 20 21 28 29 30 31 32 37 38 39","6:10 10:10 12:10 19:22 20:22 21:22 31:26 31:27 31:28 31:29 31:30 31:32 33:32 35:40 36:40 37:40 38:40 39:40"
"صاحباں","عزیز جہان",1,"29","31:27"
"صاحباں","غلام محمد",1,"5","6:5"
"صاحباں","محمد جہان نمبردار",25,"6 8 9 10 11 13 17 18 19 20 23 28 29 30 33 34 35 38 39","6:7 10:7 10:9 10:11 12:11 12:15 19:15 19:17 19:19 20:19 20:20 21:20 21:25 31:26 31:27 31:30 31:35 33:35 34:35 35:35 36:35 36:40 37:40 38:40 39:40"
"صاحباں","نور بیگم",22,"4 5 7 9 11 12 16 17 18 19 29 30 37 38 39","6:2 6:5 6:8 10:8 10:9 10:13 12:13 19:14 19:15 19:16 19:17 19:18 19:19 20:19 31:27 31:29 31:30 35:40 36:40 37:40 38:40 39:40"
"صاحباں","پیر بخش",2,"11 12","10:12 12:12"
"صاحباں","کنیز فاطمہ",25,"4 5 6 8 9 10 11 12 19 20 21 32 33 34 35 36 37","6:2 6:3 6:5 6:7 10:7 10:9 10:10 12:10 12:11 12:12 19:19 20:19 20:20 21:20 21:21 31:33 33:33 34:33 34:35 35:35 36:35 36:36 37:36 37:37 38:37"
"صاحباں","گوبند سنگھ",2,"4 5","6:2 6:5"
"صغرا بی بی","عزیز جہان",11,"24 25 26 27 53 54 55","22:27 23:27 24:27 25:27 26:27 27:27 28:27 51:56 53:56 54:56 55:56"
"صغرا بی بی","غلام محمد",1,"7","10:5"
"صغرا بی بی","لبناں سنگھ",4,"42 48 49","40:45 51:46 51:47 51:48"
"صغرا بی بی","محمد جہان نمبردار",36,"8 9 10 19 20 21 23 24 25 26 27 29 30 31 33 37 40 48 49 53 54 55 65 66 67 90 91","10:7 10:9 10:11 22:17 22:19 22:20 22:25 23:25 24:25 25:25 26:25 26:26 27:26 27:27 28:27 28:30 29:30 30:30 32:30 32:35 40:35 40:40 51:46 51:48 51:56 53:56 54:56 55:56 67:63 67:64 67:65 67:66 67:67 91:89 91:90 91:91"
"صغرا بی بی","محکم دین",2,"88 93","91:86 91:96"
"صغرا بی بی","نور بیگم",21,"7 9 11 19 20 24 25 26 27 28 29 30 31 40 50","10:5 10:8 10:9 10:13 22:17 22:18 22:19 22:27 23:27 24:27 25:27 26:27 27:27 28:27 28:29 29:29 30:29 30:30 32:30 40:40 51:49"
"صغرا بی بی","پیر بخش",1,"11","10:12"
"صغرا بی بی","چھیمو",4,"50 51 52 57","51:50 51:52 53:52 55:60"
"صغرا بی بی","کنیز فاطمہ",20,"7 8 9 10 20 21 30 31 32 37 38 49 50 57 65 68","10:5 10:7 10:9 10:10 22:19 22:20 22:21 28:33 29:33 30:33 32:33 40:35 40:36 40:37 51:47 51:48 51:49 55:60 67:64 67:69"
"صغرا بی بی","گوبند سنگھ",1,"7","10:5"
"عزیز جہان","غلام محمد",1,"58","56:61"
"عزیز جہان","لبناں سنگھ",1,"58","56:61"
"عزیز جہان","محمد جہان نمبردار",4,"26 27 56","27:25 27:26 27:27 56:56"
"عزیز جہان","نور بیگم",1,"27","27:27"
"عزیز جہان","چھیمو",2,"54 58","56:52 56:60"
"عزیز جہان","کنیز فاطمہ",1,"58","56:60"
"عزیز جہان","گوبند سنگھ",1,"58","56:61"
"غلام محمد","لبناں سنگھ",3,"61 77 78","61:61 78:77 78:79"
"غلام محمد","محمد جہان نمبردار",7,"6 58 59 60 62 79","5:7 61:56 61:57 61:58 61:59 61:63 78:80"
"غلام محمد","محکم دین",1,"79","78:81"
"غلام محمد","نور بیگم",2,"3 5","5:2 5:5"
"غلام محمد","چھیمو",1,"60","61:60"
"غلام محمد","کنیز فاطمہ",10,"3 4 5 60 61 75 76 77 78","5:2 5:3 5:5 61:60 61:61 78:73 78:74 78:76 78:77 78:78"
"غلام محمد","گوبند سنگھ",5,"3 5 61 76 78","5:2 5:5 61:61 78:75 78:78"
"لبناں سنگھ","محمد جہان نمبردار",14,"42 45 46 47 48 58 59 60 62 78 79","45:40 45:45 46:45 46:46 47:46 47:48 48:48 61:56 61:57 61:58 61:59 61:63 77:80 79:80"
"لبناں سنگھ","محکم دین",2,"79 80","77:81 79:81"
"لبناں سنگھ","نور بیگم",5,"42 47 48","45:40 45:49 46:49 47:49 48:49"
"لبناں سنگھ","چھیمو",5,"47 48 49 60","45:50 46:50 47:50 48:50 61:60"
"لبناں سنگھ","کنیز فاطمہ",14,"46 47 48 60 61 75 76 77 78 79","45:47 46:47 47:47 48:47 48:48 61:60 61:61 77:73 77:74 77:76 77:77 79:77 79:78 79:79"
"لبناں سنگھ","گوبند سنگھ",4,"61 76 77 78","61:61 77:75 77:78 79:78"
"محمد جہان نمبردار","محکم دین",5,"80 86 87 93 94","80:81 89:84 89:86 91:96 92:96"
"محمد جہان نمبردار","نور بیگم",30,"4 6 7 8 9 10 12 14 15 16 17 18 19 26 27 28 29 30 32 37 40 42 47 48","7:2 7:5 7:8 9:8 9:9 11:9 11:13 15:13 15:14 15:15 17:15 17:16 17:17 19:17 19:18 19:19 20:19 25:27 26:27 27:27 30:27 30:29 30:30 35:30 35:40 40:40 45:40 45:49 46:49 48:49"
"محمد جہان نمبردار","پیر بخش",4,"9 10 11 13","7:12 9:12 11:12 15:12"
"محمد جہان نمبردار","چھیمو",9,"47 48 49 54 58 59 61","45:50 46:50 48:50 56:52 56:60 57:60 58:60 59:60 63:60"
"محمد جہان نمبردار","کنیز فاطمہ",47,"4 5 6 7 8 9 10 11 13 17 18 19 20 22 23 31 34 35 37 38 46 47 48 58 59 61 62 63 64 67 68 69 70 78 79","7:2 7:3 7:5 7:7 9:7 9:9 11:9 11:10 11:11 15:11 15:12 15:19 17:19 19:19 20:19 20:20 25:20 25:21 30:33 35:33 35:35 40:35 40:36 40:37 45:47 46:47 48:47 48:48 56:60 57:60 58:60 59:60 63:60 63:61 63:64 64:64 65:64 65:69 66:69 67:69 68:69 70:69 70:70 80:76 80:77 80:78 80:79"
"محمد جہان نمبردار","گوبند سنگھ",10,"4 6 58 59 60 62 72 77 79","7:2 7:5 56:61 57:61 58:61 59:61 63:61 70:75 80:75 80:78"
"محکم دین","کنیز فاطمہ",4,"78 79 80","81:76 81:77 81:78 81:79"
"محکم دین","گوبند سنگھ",1,"79","81:78"
"نور بیگم","پیر بخش",3,"10 12","8:12 9:12 13:12"
"نور بیگم","چھیمو",1,"49","49:50"
"نور بیگم","کنیز فاطمہ",26,"2 3 4 5 6 7 8 9 11 12 16 17 18 19 31 37 38 48 49","2:2 5:2 5:3 5:5 8:5 8:7 8:9 9:9 13:9 13:10 13:11 13:12 14:19 15:19 16:19 17:19 18:19 19:19 29:33 30:33 40:35 40:36 40:37 49:47 49:48 49:49"
"نور بیگم","گوبند سنگھ",4,"2 3 5 6","2:2 5:2 5:5 8:5"
"پیر بخش","کنیز فاطمہ",5,"9 10 11 12","12:7 12:9 12:10 12:11 12:12"
"چھیمو","کنیز فاطمہ",4,"48 49 60","50:47 50:48 50:49 60:60"
"چھیمو","گوبند سنگھ",1,"60","60:61"
"کنیز فاطمہ","گوبند سنگھ",17,"2 4 5 6 60 61 62 72 73 74 75 77 78","2:2 3:2 3:5 5:5 7:5 60:61 61:61 64:61 70:75 71:75 73:75 74:75 76:75 76:78 77:78 78:78 79:78"
